ID: 197, Time: 2024-05-28 16:00:00, Type: long, Price: 529.71, Units: 1, Previous Balance: 99998.45000000007, New Balance: 99468.74000000006, Result: trade executed
ID: 199, Time: 2024-05-28 16:56:00, Type: long, Price: 529.77, Units: 1, Previous Balance: 99998.45000000007, New Balance: 99998.51000000007, Result: win
ID: 201, Time: 2024-05-28 17:00:00, Type: long, Price: 529.77, Units: 1, Previous Balance: 99998.51000000007, New Balance: 99468.74000000006, Result: trade executed
ID: 203, Time: 2024-05-28 17:56:00, Type: long, Price: 529.43, Units: 1, Previous Balance: 99998.51000000007, New Balance: 99998.17000000006, Result: loss
ID: 205, Time: 2024-05-28 18:00:00, Type: long, Price: 529.46, Units: 1, Previous Balance: 99998.17000000006, New Balance: 99468.71000000005, Result: trade executed
ID: 207, Time: 2024-05-29 03:56:00, Type: long, Price: 527.04, Units: 1, Previous Balance: 99998.17000000006, New Balance: 99995.75000000004, Result: loss
ID: 209, Time: 2024-05-29 04:00:00, Type: long, Price: 526.95, Units: 1, Previous Balance: 99995.75000000004, New Balance: 99468.80000000005, Result: trade executed
ID: 211, Time: 2024-05-29 04:56:00, Type: long, Price: 526.38, Units: 1, Previous Balance: 99995.75000000004, New Balance: 99995.18000000005, Result: loss
ID: 213, Time: 2024-05-29 05:00:00, Type: long, Price: 526.64, Units: 1, Previous Balance: 99995.18000000005, New Balance: 99468.54000000005, Result: trade executed
ID: 215, Time: 2024-05-29 05:56:00, Type: long, Price: 526.93, Units: 1, Previous Balance: 99995.18000000005, New Balance: 99995.47000000004, Result: win
ID: 217, Time: 2024-05-29 06:00:00, Type: long, Price: 526.78, Units: 1, Previous Balance: 99995.47000000004, New Balance: 99468.69000000005, Result: trade executed
ID: 219, Time: 2024-05-29 06:56:00, Type: long, Price: 526.66, Units: 1, Previous Balance: 99995.47000000004, New Balance: 99995.35000000005, Result: loss
ID: 221, Time: 2024-05-29 07:00:00, Type: long, Price: 526.62, Units: 1, Previous Balance: 99995.35000000005, New Balance: 99468.73000000005, Result: trade executed
ID: 223, Time: 2024-05-29 07:56:00, Type: long, Price: 525.95, Units: 1, Previous Balance: 99995.35000000005, New Balance: 99994.68000000005, Result: loss
ID: 225, Time: 2024-05-29 08:00:00, Type: long, Price: 526.08, Units: 1, Previous Balance: 99994.68000000005, New Balance: 99468.60000000005, Result: trade executed
